"FunctionName","Description","Example"
"Stop-Outlook","",""
"Stop-ProcessOnComputer","",""
"Stop-ScheduledScript","",""
"Sync-ADwithAAD","",""
"Sync-DomainController","",""
"Test-ADReplication","",""
"Test-CiscoSecure","",""
"Test-Computer","The function Test-Computer can be used to test a computer and return the current status of the computer. The function performs a number of tests to retrieve the DNS, RDP, AD, and DHCP IP address information. The tests performed are as follows:         - Test-Connection         - Get-ADComputer         - Resolve-DnsName         - Test-OpenPorts         - Get-NetIPAddress     Each test is performed and the results are returned in a custom object.     The first test performed is a Test-Connection to the computer. If the computer is not online, the function will return a custom object with the computer name and the status of ""Inactive"" and will not perform any further tests.","Test-Computer -ComputerName ""Computer01""      This will test and return the current status of the computer using the computer name. This includes DNS, RDP, AD, and DHCP IP address information."
"Test-ContactEmail","",""
"Test-DisplayName","",""
"Test-DNSRecord","",""
"Test-DnsRecordEndpoints","",""
"Test-ExchangeConnection","",""
"Test-ExchangeDNSRR","A function to search for files.",""
"Test-FileExists","",""
"Test-FolderExists","",""
"Test-ifContactExists","",""
"Test-IsAdmin","",""
"Test-NetworkPort","",""
"Test-O365EmailExists","Test-O365EmailExists - A function to          The function tests to see if  		 		Outputs inlcude:         Name         DisplayName         Alias         SamAccountName         ExternalEmailAddress         EmailAddresses         WindowsEmailAddress         PrimarySmtpAddress         RecipientType         RecipientTypeDetails","Test-O365EmailExists -EmailAddress sharedMailbox@example"
"Test-OpenPorts","The Test-OpenPorts function utilises the Test-NetConnection cmdlet to make it easier to test multiple ports on multiple computers. It has been created with a number of preset ports that can be tested by selecting the relevant switches.","Test-OpenPorts -ComputerName COMPUTER -RDP -PowerShell -Ports 445      ComputerName Port Status Timestamp     ------------ ---- ------ ---------     COMPUTER     445 Open   20/03/2023 20:21:06     COMPUTER    5985 Open   20/03/2023 20:21:06     COMPUTER    3389 Open   20/03/2023 20:21:06      This command tests the computer named 'COMPUTER', RDP and Powershell ports using the preset switches and also tests the specified port 445."
"Test-ProfileExists","",""
"Test-SamAccountName","",""
"Test-ServerRolePortGroup","This function tests for all the approprite TCP/UDP ports by server role so you don't have 	to memorize or look up all of the ports that need to be tested for every time 	you want to verify remote connectivity on a specific server role.","PS> Test-ServerRolePortGroup -Computername 'LABDC','LABDC2' -ServerRole NetBIOS,WinRm,Dns 	 	This example tests the network ports necessary for NetBIOS, WinRm and Dns 	to operate on the servers LABDC and LABDC2. #>  	[CmdletBinding()] 	[OutputType([System"
"Test-SMB1Enabled","",""
"Test-SSLProtocols","A detailed description of the Test-SSLProtocols function. Tests and oututs the website SSL protocols that the client is able to successfully use to connect to a server.","PS C:\> Test-SSLProtocols -WebAddress ""www"
"Test-Surname","",""
"Test-TLSConnection","This function uses System","Test-TlsConnection -ComputerName www"
"Test-UserExists","",""
"Unlock-UserAccount","This function will gather user account information from Active Directory compiling a list of user accounts     for all Active Directory accounts that are currently locked due to incorrect passwords being entered.     When running the function, it searches all AD User accounts from AD looking for those that are locked out.     It then produces an alphabetical list output in Grid-View with the user details ""Name,SamAccountName,LastLogonDate,UserPrincipalName,LockedOut""     You can then select the User/s accounts and click OK to unlock them.","Unlock-UserAccount"
"Update-CloudflareDDNS","The Update-CloudflareDDNS function is used to update a Dynamic DNS (DDNS) record in Cloudflare. It retrieves the current public IP address, compares it with the existing DNS record IP address, and updates the DNS record if necessary. The function requires a valid Cloudflare API token, email address, domain name, and record name.","Update-CloudflareDDNS -Email ""user@example"
"Update-DistributionList","",""
"Update-DistributionList","",""
"Update-ModulePSM1","",""
"Update-O365CalendarPermissions","Update-O365CalendarPermissions - A function to update the permissions for a calendar. This function will apply the permission to the calendar with the permissions of the user specified. You can add permissions by specifying a specific permission or by specifying the role of the user. You can remove user permissions by specifying the permission 'remove'.","Update-O365CalendarPermissions -Identity <mailbox> -User <xxx> -Permission <permission>  	Returns the permissions for the calendar of the user named in UserPrincipalName"
"Update-PowerShell","",""
"Update-SSLCertificate","",""
